106.57764278	29.90636572	2.579
106.57589139	29.90760539	4.465
106.57796404	29.90826116	3.0
106.57741478	29.90947388	4.422
106.57580849	29.90780302	4.274
106.5763681	29.90888099	6.076
106.57753914	29.9070664	4.46
106.57682408	29.90828811	5.944
106.57733188	29.90952778	5.009
106.57639919	29.90897981	6.019
106.57742515	29.90720115	4.516
106.57672045	29.90817133	6.752
106.57801585	29.90748861	4.465
106.57736297	29.90831506	3.099
106.57552868	29.90823421	2.405
106.57775677	29.90685979	3.566
106.57632665	29.90825217	5.494
106.57750805	29.90680589	3.843
106.57626447	29.90819828	5.985
106.57581885	29.90960862	4.447
106.57755987	29.90756946	4.73
106.57599502	29.9077042	4.135
106.57615047	29.90948286	6.706
106.57760132	29.90675199	3.49
106.57600539	29.90980625	5.603
106.57672045	29.9097793	5.874
106.57659609	29.90951879	6.517
106.57714534	29.90745268	2.779
106.57619192	29.90880014	5.542
106.57664791	29.90860252	5.172
106.57655464	29.90977032	6.592
106.57593284	29.90906065	4.634
106.57735261	29.90666216	3.131
106.57734224	29.90627589	2.447
106.57599502	29.90818031	5.642
106.57671009	29.90787488	5.373
106.57608829	29.90966252	6.796
106.57594321	29.90951879	6.536
106.57618156	29.90848574	6.005
106.57730079	29.90659928	2.366
106.57679299	29.90922235	3.065
106.57718679	29.9077042	4.981
106.5767619	29.90792878	6.009
106.57583958	29.90753353	3.732
106.57640955	29.90823421	6.095
106.57606757	29.90846777	6.074
106.57671009	29.90897082	3.645
106.57761169	29.90615013	2.174
106.57581885	29.90785692	4.375
106.57732152	29.90632081	1.862
106.57593284	29.90752454	3.989
106.5759743	29.90936608	6.514
106.5761712	29.90928523	6.843
106.57704171	29.90840489	3.626
106.57718679	29.90818031	3.844
106.57691735	29.90766827	5.078
106.57674118	29.90938405	6.994
106.57553904	29.90744369	2.849
106.57610902	29.90880014	5.94
106.5758603	29.90819828	5.935
106.57646137	29.9085576	5.865
106.57601575	29.90849472	5.843
106.57646137	29.90862048	5.973
106.57661682	29.9098332	3.958
106.57829566	29.90753353	3.947
106.5776635	29.90750658	4.628
106.57677227	29.90966252	7.238
106.57769459	29.90746166	4.839
106.57579812	29.90923133	5.311
106.57548723	29.90807251	2.265
106.57735261	29.90969846	3.722
106.57668936	29.90833302	6.28
106.57560122	29.90792878	2.482
106.57588103	29.90968049	5.347
106.57541468	29.9073898	2.2
106.57633701	29.9077581	6.227
106.57772568	29.90726403	4.46
106.57788113	29.90803658	2.932
106.57574631	29.90759641	3.085
106.5768759	29.90842285	6.028
106.57897963	29.90762336	1.473
106.57571522	29.90769522	4.786
106.57691735	29.90947388	7.228
106.57569449	29.90784793	3.433
106.57582921	29.9073898	3.346
106.57701062	29.90978829	5.554
106.57649246	29.90865641	5.918
106.57730079	29.90815336	3.87
106.57604684	29.90907862	6.057
106.57629556	29.90950981	6.67
106.57776713	29.90704844	3.221
106.57580849	29.90736285	2.778
106.57700026	29.90933913	6.867
106.57663754	29.90913252	3.508
106.5784822	29.90747963	3.209
106.57765314	29.90784793	3.822
106.57680335	29.90825217	5.997
106.57611938	29.9090876	6.026
106.57723861	29.90665318	3.088
106.57692771	29.90979727	5.79
106.57834747	29.90746166	3.665
106.57628519	29.90832404	6.114
106.57596393	29.90987812	4.372
106.57592248	29.90883608	5.268
106.57657536	29.90860252	5.828
106.57622301	29.90820726	6.309
106.57762205	29.90649148	2.652
106.57760132	29.90695861	3.744
106.57669972	29.9085037	4.896
106.57802621	29.907812	2.081
106.57662718	29.90934811	6.136
106.57589139	29.90765929	4.391
106.5754665	29.90825217	2.491
106.57668936	29.90904269	5.389
106.57780859	29.90827912	2.318
106.57751842	29.9077042	4.76
106.57645101	29.90955473	6.706
106.57570485	29.90794675	3.134
106.57554941	29.90812641	2.931
106.57607793	29.9090876	6.057
106.5760572	29.90950981	6.612
106.57578776	29.90961761	4.12
106.57638883	29.90876421	6.116
106.57674118	29.90784793	5.684
106.57618156	29.90950083	6.682
106.5756634	29.90800065	3.713
106.57561158	29.90862947	2.684
106.57573594	29.90784793	3.238
106.57869982	29.90754251	2.762
106.5775806	29.90951879	3.445
106.57751842	29.90818031	4.313
106.57618156	29.90800963	6.018
106.57745624	29.90632979	3.134
106.57627483	29.90833302	6.152
106.57540432	29.90849472	2.418
106.57669972	29.90889896	4.618
106.57558049	29.90833302	3.221
106.57580849	29.90835997	4.266
106.57604684	29.90995897	5.028
106.57734224	29.9065364	2.956
106.57565304	29.90812641	3.211
106.57637846	29.90948286	6.664
106.57622301	29.90942896	6.665
106.57649246	29.90856658	5.686
106.57571522	29.90970744	4.237
106.57808839	29.90774014	4.53
106.57855474	29.90740776	3.089
106.57583958	29.90761437	4.19
106.57631628	29.9085576	5.847
106.57631628	29.90862048	5.922
106.57553904	29.90792878	2.57
106.57601575	29.90844082	5.814
106.57830602	29.90752454	3.952
106.57567376	29.90819828	3.514
106.57608829	29.90953676	6.627
106.57615047	29.90846777	5.998
106.57653391	29.90805455	6.027
106.57717643	29.90763234	3.648
106.57688626	29.90788387	5.81
106.57705207	29.90969846	7.217
106.57731115	29.90713827	4.617
106.57679299	29.90989608	2.628
106.57833711	29.90742573	3.171
106.57647173	29.90787488	3.734
106.57603648	29.90813539	5.914
106.57826457	29.90764132	4.048
106.57738369	29.90647352	2.844
106.57612975	29.9086654	5.929
106.57732152	29.90827912	4.978
106.57770495	29.90720115	4.298
106.57626447	29.90902472	5.986
106.57574631	29.90787488	3.516
106.57628519	29.91002185	4.111
106.57616084	29.90961761	6.752
106.57750805	29.90831506	3.263
106.57743551	29.90819828	4.584
106.57650282	29.9098332	5.603
106.57829566	29.90761437	3.557
106.57754951	29.90810844	3.549
106.57693808	29.90772217	5.113
106.57647173	29.90897082	6.111
106.57626447	29.90954574	6.691
106.57582921	29.9086115	3.889
106.57601575	29.90777607	4.604
106.57669972	29.90893489	4.158
106.57808839	29.90735386	4.721
106.57728006	29.90943795	3.737
106.57627483	29.90904269	6.078
106.57738369	29.90734488	4.736
106.57697953	29.90859353	3.297
106.57860655	29.90758742	3.029
106.57752878	29.9080815	3.485
106.57641992	29.90810844	5.593
106.57634737	29.90791082	5.397
106.5784822	29.90767726	3.077
106.57682408	29.90875523	3.086
106.57725934	29.90753353	4.567
106.57580849	29.9073359	2.521
106.57768423	29.90626691	2.454
106.57644064	29.90924032	6.532
106.57661682	29.90922235	6.312
106.57622301	29.90933913	6.38
106.57737333	29.90824319	4.956
106.57685517	29.90985117	5.908
106.57779822	29.90758742	4.97
106.57724897	29.90687776	3.736
106.57654427	29.90951879	6.287
106.57596393	29.90899777	6.091
106.5778604	29.90751556	4.629
106.57634737	29.90915049	6.469
106.57754951	29.90729098	4.917
106.5762541	29.90859353	6.046
106.5762541	29.90886303	5.815
106.57711425	29.90760539	4.054
106.57796404	29.90785692	2.13
106.57781895	29.9079737	3.934
106.57662718	29.90966252	6.585
106.57554941	29.90857557	1.925
106.57571522	29.90973439	4.756
106.57789149	29.90780302	3.239
106.57655464	29.9093571	6.339
106.5768759	29.90975235	4.148
106.5758603	29.90954574	6.135
106.57753914	29.90668013	3.283
106.57561158	29.90776709	2.518
106.57578776	29.90834201	4.161
106.57763241	29.90621301	2.391
106.57576703	29.9080815	4.196
106.57689662	29.90832404	5.392
106.57683444	29.90931218	5.139
106.57540432	29.90844082	2.265
106.57668936	29.90910557	4.428
106.57639919	29.90862947	5.99
106.57775677	29.90714725	4.514
106.57629556	29.90782099	4.312
106.5763681	29.90998592	3.609
106.57565304	29.90857557	2.02
106.57765314	29.90703945	4.129
106.57619192	29.90979727	5.09
106.57600539	29.9083959	5.89
