106.53693191	29.86490368	5.596
106.53694227	29.86490368	5.626
106.53695263	29.86490368	5.727
106.53696299	29.86490368	5.741
106.53697335	29.86490368	5.813
106.53698371	29.86490368	5.898
106.53699407	29.86490368	5.940
106.53700442	29.86490368	6.007
106.53701478	29.86490368	6.046
106.53702514	29.86490368	6.093
106.53703550	29.86490368	6.167
106.53704586	29.86490368	6.143
106.53691119	29.86491266	5.496
106.53692155	29.86491266	5.540
106.53693191	29.86491266	5.573
106.53694227	29.86491266	5.620
106.53695263	29.86491266	5.695
106.53696299	29.86491266	5.750
106.53697335	29.86491266	5.812
106.53698371	29.86491266	5.910
106.53699407	29.86491266	5.933
106.53700442	29.86491266	6.008
106.53701478	29.86491266	6.055
106.53702514	29.86491266	6.081
106.53703550	29.86491266	6.160
106.53704586	29.86491266	6.162
106.53705622	29.86491266	6.151
106.53706658	29.86491266	6.112
106.53707694	29.86491266	6.035
106.53689048	29.86492165	5.441
106.53690084	29.86492165	5.479
106.53691119	29.86492165	5.502
106.53692155	29.86492165	5.530
106.53693191	29.86492165	5.596
106.53694227	29.86492165	5.625
106.53695263	29.86492165	5.674
106.53696299	29.86492165	5.741
106.53697335	29.86492165	5.793
106.53698371	29.86492165	5.857
106.53699407	29.86492165	5.921
106.53700442	29.86492165	5.970
106.53701478	29.86492165	6.036
106.53702514	29.86492165	6.048
106.53703550	29.86492165	6.122
106.53704586	29.86492165	6.165
106.53705622	29.86492165	6.159
106.53706658	29.86492165	6.108
106.53707694	29.86492165	6.067
106.53708730	29.86492165	6.024
106.53709766	29.86492165	5.964
106.53710801	29.86492165	5.942
106.53685940	29.86493063	6.406
106.53686976	29.86493063	6.157
106.53688012	29.86493063	5.649
106.53689048	29.86493063	5.497
106.53690084	29.86493063	5.502
106.53691119	29.86493063	5.549
106.53692155	29.86493063	5.549
106.53693191	29.86493063	5.597
106.53694227	29.86493063	5.634
106.53695263	29.86493063	5.684
106.53696299	29.86493063	5.714
106.53697335	29.86493063	5.742
106.53698371	29.86493063	5.776
106.53699407	29.86493063	5.815
106.53700442	29.86493063	5.866
106.53701478	29.86493063	5.914
106.53702514	29.86493063	5.978
106.53703550	29.86493063	6.033
106.53704586	29.86493063	6.094
106.53705622	29.86493063	6.116
106.53706658	29.86493063	6.094
106.53707694	29.86493063	6.061
